T,Smoothed_Pro
3382,1.0092682508433713e-06
3383,1.0091373600730776e-06
3384,1.0090068982635404e-06
3385,1.0088768657921755e-06
3386,1.0087472630355356e-06
3387,1.008618090369309e-06
3388,1.0084893481683206e-06
3389,1.0083610368065304e-06
3390,1.0082331566570362e-06
3391,1.0081057080920702e-06
3392,1.0079786914830015e-06
3393,1.0078521072003361e-06
3394,1.0077259556137145e-06
3395,1.007600237091915e-06
3396,1.0074749520028508e-06
3397,1.0073501007135714e-06
3398,1.0072256835902633e-06
3399,1.007101700998248e-06
3400,1.006978153301984e-06
3401,1.0068550408650654e-06
3402,1.0067323640502228e-06
3403,1.0066101232193225e-06
3404,1.0064883187333675e-06
3405,1.0063669509524964e-06
3406,1.0062460202359843e-06
3407,1.006125526942242e-06
3408,1.0060054714288166e-06
3409,1.005885854052392e-06
3410,1.0057666751687873e-06
3411,1.0056479351329582e-06
3412,1.0055296342989964e-06
3413,1.0054117730201295e-06
3414,1.0052943516487219e-06
3415,1.0051773705362735e-06
3416,1.0050608300334204e-06
3417,1.0049447304899355e-06
3418,1.0048290722547268e-06
3419,1.0047138556758392e-06
3420,1.004599081100453e-06
3421,1.004484748874886e-06
3422,1.0043708593445903e-06
3423,1.0042574128541558e-06
3424,1.0041444097473074e-06
3425,1.0040318503669063e-06
3426,1.0039197350549506e-06
3427,1.0038080641525738e-06
3428,1.0036968380000455e-06
3429,1.003586056936772e-06
3430,1.0034757213012946e-06
3431,1.003365831431293e-06
3432,1.00325638766358e-06
3433,1.0031473903341068e-06
3434,1.0030388397779599e-06
3435,1.002930736329362e-06
3436,1.0028230803216722e-06
3437,1.002715872087385e-06
3438,1.002609111958132e-06
3439,1.0025028002646801e-06
3440,1.002396937336933e-06
3441,1.00229152350393e-06
3442,1.0021865590938466e-06
3443,1.0020820444339949e-06
3444,1.001977979850823e-06
3445,1.001874365669914e-06
3446,1.0017712022159894e-06
3447,1.001668489812904e-06
3448,1.0015662287836518e-06
3449,1.00146441945036e-06
3450,1.001363062134294e-06
3451,1.0012621571558548e-06
3452,1.0011617048345788e-06
3453,1.0010617054891394e-06
3454,1.0009621594373456e-06
3455,1.000863066996143e-06
3456,1.0007644284816131e-06
3457,1.0006662442089731e-06
3458,1.0005685144925771e-06
3459,1.000471239645915e-06
3460,1.0003744199816126e-06
3461,1.000278055811432e-06
3462,1.0001821474462715e-06
3463,1.000086695196166e-06
3464,9.99991699370285e-07
3465,9.99897160276936e-07
3466,9.998030782235615e-07
3467,9.997094535167403e-07
3468,9.996162864621875e-07
3469,9.995235773647546e-07
