T,Pro
53697,9.569355639635992e-06
53698,9.569531692406583e-06
53699,9.569707147650274e-06
53700,9.569882002678539e-06
53701,9.57005625480285e-06
53702,9.570229901334674e-06
53703,9.57040293958549e-06
53704,9.570575366866766e-06
53705,9.570747180489975e-06
53706,9.570918377766594e-06
53707,9.571088956008087e-06
53708,9.571258912525934e-06
53709,9.571428244631599e-06
53710,9.571596949636565e-06
53711,9.571765024852295e-06
53712,9.571932467590268e-06
53713,9.572099275161946e-06
53714,9.572265444878813e-06
53715,9.572430974052336e-06
53716,9.572595859993986e-06
53717,9.57276010001524e-06
53718,9.572923691427561e-06
53719,9.573086631542434e-06
53720,9.573248917671322e-06
53721,9.5734105471257e-06
53722,9.573571517217039e-06
53723,9.573731825256815e-06
53724,9.573891468556494e-06
53725,9.574050444427552e-06
53726,9.574208750181461e-06
53727,9.574366383129698e-06
53728,9.57452334058373e-06
53729,9.574679619855022e-06
53730,9.574835218255062e-06
53731,9.574990133095312e-06
53732,9.575144361687244e-06
53733,9.575297901342338e-06
53734,9.575450749372056e-06
53735,9.575602903087876e-06
53736,9.575754359801273e-06
53737,9.575905116823714e-06
53738,9.57605517146667e-06
53739,9.57620452104162e-06
53740,9.576353162860036e-06
53741,9.57650109423338e-06
53742,9.576648312473136e-06
53743,9.576794814890766e-06
53744,9.57694059879775e-06
53745,9.577085661505558e-06
53746,9.577230000325663e-06
53747,9.577373612569535e-06
53748,9.577516495548648e-06
53749,9.577658646574475e-06
53750,9.57780006295849e-06
53751,9.577940742012156e-06
53752,9.578080681046954e-06
53753,9.578219877374353e-06
53754,9.57835832830583e-06
53755,9.57849603115285e-06
53756,9.57863298322689e-06
53757,9.578769181839416e-06
53758,9.57890462430191e-06
53759,9.579039307925842e-06
53760,9.579173230022675e-06
53761,9.57930638790389e-06
53762,9.57943877888096e-06
53763,9.579570400265352e-06
53764,9.57970124936854e-06
53765,9.579831323501997e-06
53766,9.5799606199772e-06
53767,9.580089136105606e-06
53768,9.580216869198707e-06
53769,9.58034381656796e-06
53770,9.580469975524848e-06
53771,9.580595343380835e-06
53772,9.5807199174474e-06
53773,9.580843695036006e-06
53774,9.580966673458135e-06
53775,9.581088850025253e-06
53776,9.581210222048838e-06
53777,9.58133078684036e-06
53778,9.581450541711286e-06
53779,9.581569483973093e-06
53780,9.581687610937253e-06
53781,9.581804919915238e-06
53782,9.581921408218521e-06
53783,9.582037073158571e-06
53784,9.582151912046867e-06
53785,9.582265922194872e-06
53786,9.582379100914065e-06
